Timestamp,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
12.65625,-3.721912346569212e+304,-3.4470641103911954e+304,-3.858525508372654e+304,-3.859603295414827e+304,-4.437246882207908e+304,-4.988010677591381e+304,-4.1376932637844376e+304,-4.275384212534004e+304,-3.8617797973377977e+304,-3.7240888484920563e+304,-3.586397899614255e+304,-3.4487069507685127e+304,-3.5885388240387535e+304,-3.313156926379327e+304
12.6640625,-3.1754659775015257e+304,-3.0377750286557833e+304,-3.4508478750968346e+304,-3.726229772916554e+304,-3.037775028687842e+304,-4.138222739461191e+304,-3.999987665311028e+304,-3.5869148188059834e+304,-3.4492238699281823e+304,-3.586914818741866e+304,-3.724605767523491e+304,-4.137678614092777e+304,-3.999987665311152e+304,-3.7235300733999254e+304
12.671875,-3.997838369693475e+304,-3.8601474208797914e+304,-3.8601474208477328e+304,-3.7224564720019903e+304,-3.5847655231883066e+304,-3.584765523156248e+304,-3.4470745743105054e+304,-3.4470745743105054e+304,-3.4470745743105054e+304,-3.584765523124189e+304,-3.7224564719699316e+304,-3.7224564720019903e+304,-3.8601474208477328e+304,-3.722456472034049e+304
12.6796875,-3.7224564720019903e+304,-3.584765523156248e+304,-3.1738419722685057e+304,-3.1738419722685057e+304,-3.1738419722685057e+304,-3.1738419722685057e+304,-3.036151023422763e+304,-3.036151023422763e+304,-3.036151023422763e+304,-3.3104572268624477e+304,-3.44814817570819e+304,-3.3104572268945063e+304,-3.172766278048764e+304,-3.172766278016705e+304
12.6875,-3.172766278016705e+304,-3.172766278016705e+304,-3.172766278016705e+304,-3.172766278016705e+304,-3.034533296496498e+304,-2.8968423476828145e+304,-2.896842347650756e+304,-2.7591513988050134e+304,-3.034533296496498e+304,-2.896842347650756e+304,-2.7591513988050134e+304,-2.7591513988050134e+304,-2.4832379323903084e+304,-2.3455469835766247e+304
12.6953125,-2.349381396802822e+305,-2.018923119265277e+305,-3.830442354521268e+305,-2.1277783487209644e+305,-1.0325164072274102e+306,-3.0932497940734555e+306,-4.149339392278886e+306,-5.2068058798654123e+306,-4.856393098828809e+306,-2.598591866122382e+306,-1.8946455348819396e+306,-4.6815282511867865e+306,-4.328359014340743e+306,-3.4478253863772663e+306
12.703125,-2.91909214268651e+306,-2.070200165841283e+306,-1.538354189584693e+306,-1.339217664757159e+306,-1.3392176647469002e+306,-1.383278768367279e+306,-7.664233175383529e+305,-8.54545524799628e+305,-9.867288356915408e+305,-1.074851042952816e+306,-9.428425219230087e+305,-8.987814182821123e+305,-8.987814182821123e+305,-9.428425219024912e+305
12.7109375,-8.106592110208372e+305,-8.547203146514748e+305,-9.428425219024912e+305,-8.992970818198383e+305,-6.907798332908625e+305,-7.67457993037408e+305,-8.996413039293208e+305,-9.877635111905959e+305,-7.233968894170292e+305,-7.674579930476668e+305,-8.555802002986832e+305,-8.996413039395795e+305,-7.233995681987266e+305,-7.233995681987266e+305
12.71875,-6.687506208766512e+305,-6.46720069056203e+305,-8.115217754600018e+305,-8.555828790803806e+305,-8.555828790906393e+305,-8.994732110370066e+305,-8.116965653118084e+305,-8.557576689321874e+305,-8.99818772562825e+305,-8.998187725730837e+305,-1.2523076016079256e+306,-1.3404298088692007e+306,-1.5407784779110426e+306,-1.717022892433593e+306
12.7265625,-1.0764074091948178e+306,-1.0764074092255941e+306,-9.88285201964319e+305,-1.1204685128254554e+306,-9.882852019540602e+305,-1.032346305574439e+306,-1.0323463055846978e+306,-9.886300938075158e+305,-1.542850507639716e+306,-1.8953393366848973e+306,-1.630284270723382e+306,-1.1208154137987053e+306,-9.005098955839647e+305,-1.0767523010380951e+306
12.734375,-8.123856793055635e+305,-6.469795750471267e+305,-6.685771703234244e+305,-5.363088085229758e+305,-1.7371147509626475e+307,-1.1129583097933414e+307,-1.2430753496942563e+307,-3.2646724206414085e+306,-4.4861922295935076e+305,-9.013737993061797e+305,-6.041272671257849e+305,-6.036089247497786e+305,-1.8808715598188711e+307,-4.8508667940895353e+306
12.7421875,-3.2639732602905373e+306,-1.2072091440145173e+306,-8.11178222930712e+305,-2.0150355525348227e+305,-2.7852376135612153e+305,-3.4448650087913585e+305,-7.254954392844957e+306,-1.118717561795229e+308,-6.425254214973622e+307,-1.5278384058288287e+307,-9.740382903067407e+306,-1.1151736537653834e+307,-9.740425763166775e+306,-1.0092914592293948e+307
